10000 60000
2644 3494 7
2644 1822 16
2644 4403 56
2645 1116 23
2645 1511 36
2645 20 5
2645 9024 40
2646 6387 44
2646 8441 77
2646 4488 83
2646 999 31
2646 5133 37
2647 5587 16
2647 2712 77
2647 1098 50
2647 7266 61
2647 1818 84
2648 6241 15
2648 818 84
2648 238 9
2648 5835 9
2648 5384 32
2648 7866 69
2648 8766 26
2649 9499 63
2649 8343 90
2649 8410 94
2649 7240 45
2649 292 28
2649 9104 56
2649 8339 91
2650 1642 38
2650 3748 46
2650 6650 99
2650 9898 70
2650 2619 37
2650 2081 83
2650 3262 31
2650 9252 67
2651 2291 34
2651 8596 40
2651 5807 89
2651 5360 69
2652 9801 64
2652 7799 13
2652 4490 6
2652 7976 44
2652 3860 52
2653 1212 90
2653 4657 79
2653 7366 62
2653 966 35
2653 9532 10
2654 3394 26
2654 1415 17
2654 6790 66
2654 9218 29
2654 8104 39
2654 2216 94
2654 7365 70
2654 3397 26
2655 3271 15
2655 9928 47
2655 908 92
2655 3697 100
2655 3720 18
2655 7570 4
2655 9511 30
2655 3650 89
2655 7852 56
2656 4547 83
2656 7215 97
2656 5934 58
2656 8083 14
2656 7624 2
2656 2401 63
2656 4896 4
2656 8479 34
2656 8477 35
2657 4825 75
2657 7924 49
2657 1437 38
2657 3458 10
2658 2962 7
2658 1991 35
2658 768 78
2658 4420 49
2658 8329 63
2658 8130 2
2658 2952 48
2658 7560 49
2658 1096 56
2658 3753 5
2659 953 28
2659 485 26
2659 2941 48
2659 8535 23
2659 7089 84
2660 491 55
2660 4449 68
2660 8458 6
2660 3566 84
2660 178 39
2660 3830 4
2660 459 69
2661 6466 97
2661 5429 44
2661 1226 3
2661 2967 77
2661 2636 96
2662 6438 43
2662 4573 33
2662 1931 96
2662 5989 75
2663 8743 27
2663 5349 96
2663 7453 3
2664 8892 43
2664 4715 92
2664 1106 79
2665 2308 55
2665 53 54
2665 7950 100
2665 3091 93
2665 7934 94
2665 2693 96
2665 4354 7
2666 8873 13
2666 7648 70
2666 652 49
2666 8543 92
2666 452 86
2666 1651 36
2667 9419 68
2667 6165 59
2667 8136 54
2668 9529 73
2668 3434 92
2668 9608 72
2668 4688 98
2668 7369 66
2668 43 33
2668 4225 20
2668 3542 48
2669 9375 59
2669 6365 95
2669 9174 30
2669 3509 16
2669 8304 1
2669 5425 35
2669 2001 87
2669 7735 35
2669 975 10
2669 5180 31
2670 4633 98
2670 8359 69
2670 5218 37
2670 7187 43
2671 1678 73
2671 3126 50
2671 5943 4
2671 4716 78
2671 1902 35
2672 5036 46
2672 2929 34
2672 4144 84
2672 4625 32
2673 2208 100
2673 9759 83
2673 9234 98
2673 9731 77
2674 9700 1
2674 2275 15
2674 6451 39
2674 4244 72
2674 4029 84
2674 4077 41
2675 6385 33
2675 866 22
2675 6951 56
2675 8294 59
2675 8501 2
2675 1704 56
2675 9021 1
2676 983 59
2676 7 4
2676 2653 45
2676 5209 61
2676 3497 81
2676 6839 71
2676 9255 27
2676 7101 52
2677 2169 7
2677 7239 74
2677 4176 10
2677 6053 35
2677 2824 78
2678 9227 70
2678 7943 40
2679 7653 8
2679 351 56
2679 1201 23
2679 4262 33
2679 8726 98
2679 2919 100
2679 1558 35
2680 414 33
2680 5847 63
2680 8233 16
2680 7804 29
2680 3490 80
2680 6004 22
2680 7006 18
2680 5561 79
2680 2307 83
2681 3715 6
2681 6234 29
2681 7180 14
2681 8673 83
2681 2737 4
2682 2194 23
2682 5358 87
2683 3308 64
2683 1861 56
2683 6044 74
2683 4971 40
2684 7285 5
2684 1723 70
2684 2185 91
2684 5436 29
2684 4366 7
2684 7447 91
2685 6115 33
2685 5921 32
2685 2879 2
2686 2024 86
2686 418 45
2686 9411 69
2686 6944 91
2686 1863 5
2686 264 76
2686 9169 30
2686 5244 44
2686 3201 13
2686 8788 9
2686 6624 64
2687 1217 56
2687 3159 14
2688 6963 65
2688 7796 9
2688 2180 30
2688 3516 26
2688 6314 41
2688 4088 73
2688 5371 47
2689 8052 87
2689 3236 53
2689 5199 9
2689 2263 82
2689 3622 54
2689 9804 36
2689 1722 18
2689 2921 3
2689 9448 41
2690 5032 77
2690 8591 100
2690 7838 46
2690 599 42
2690 9078 52
2690 8401 83
2690 7218 47
2690 2217 60
2690 4198 37
2690 7498 79
2691 1665 3
2691 6853 20
2691 6705 47
2691 9261 5
2691 9670 37
2692 8127 19
2692 2327 75
2693 7365 3
2693 937 13
2693 7311 77
2693 2423 27
2693 586 40
2693 6176 65
2693 600 91
2693 9690 99
2694 5394 94
2694 2280 65
2694 6366 100
2694 7380 74
2695 4210 91
2695 5375 44
2695 3253 27
2695 6044 48
2695 8791 74
2696 1889 4
2696 8214 84
2696 1546 92
2696 6947 19
2696 3856 48
2696 375 97
2696 7354 83
2696 5797 10
2696 3252 9
2697 6209 28
2697 2653 72
2697 4527 64
2697 7080 73
2697 166 80
2697 2968 70
2697 6195 93
2697 4324 53
2698 3715 68
2698 8693 93
2698 4565 15
2698 5217 67
2698 3742 6
2698 9071 77
2698 3392 60
2698 9903 84
2698 6541 67
2699 8790 66
2699 9889 56
2699 2218 40
2699 4987 34
2699 7400 24
2699 9151 73
2699 7878 37
2699 6178 31
2699 6508 42
2700 4141 31
2700 768 98
2700 6803 46
2700 1762 29
2701 6609 58
2701 5506 40
2701 8899 95
2701 3452 14
2701 566 88
2701 2952 30
2701 2930 56
2702 6985 93
2702 3600 52
2702 9176 46
2703 7187 10
2703 7876 45
2703 7872 71
2703 4616 64
2703 8624 9
2703 9725 46
2703 1353 83
2703 4208 61
2703 9311 77
2704 7657 29
2704 9485 57
2704 2828 100
2704 5070 53
2704 7884 29
2705 7058 72
2705 4028 16
2705 7232 68
2705 8045 31
2705 146 99
2705 6137 52
2706 5075 86
2706 134 74
2706 2089 85
2706 2240 17
2706 5607 77
2706 3767 33
2706 4258 36
2706 8308 43
2706 9557 40
2706 3818 15
2707 8055 10
2707 9027 52
2707 813 53
2707 4867 64
2707 5133 18
2707 7403 73
2708 7197 63
2708 8578 80
2708 3130 98
2708 4110 25
2708 8552 23
2708 5386 58
2708 7627 1
2709 1226 21
2709 4345 15
2709 9778 53
2709 2064 33
2709 6490 97
2709 5077 70
2710 1414 91
2710 4768 60
2710 5215 95
2710 2497 12
2710 7206 16
2710 1212 4
2710 2964 55
2710 4072 3
2711 7172 88
2711 5880 21
2711 3860 9
2711 2964 16
2712 7170 65
2712 5903 67
2712 5035 49
2712 9120 54
2712 2623 45
2712 2647 16
2712 3841 51
2713 406 89
2713 1942 71
2713 2843 30
2713 8085 91
2713 1955 37
2713 9840 15
2713 7759 43
2713 5420 43
2713 164 75
2713 1943 77
2713 7569 78
2713 9323 13
2713 9051 92
2714 8380 5
2714 1421 9
2714 9365 94
2714 4702 45
2715 7524 57
2715 920 52
2715 8297 80
2715 6045 57
2715 7948 94
2715 3673 55
2716 6993 37
2716 6729 96
2716 7758 61
2716 8274 89
2716 8713 17
2716 6484 93
2717 8423 23
2717 2290 92
2717 4795 98
2717 2642 75
2717 2618 65
2717 7268 10
2717 3150 19
2718 5039 0
2718 2318 75
2718 181 75
2718 2087 47
2718 7891 86
2718 7982 83
2718 3093 58
2719 2281 48
2719 6654 41
2719 2349 56
2719 5214 22
2719 9829 65
2720 66 92
2720 9460 75
2720 4943 35
2720 6398 98
2720 2747 12
2721 2497 29
2721 1307 38
2721 9845 63
2721 4550 43
2721 601 6
2721 9803 72
2721 2339 66
2721 3575 67
2721 948 74
2721 2982 65
2721 7323 54
2722 3233 36
2722 9732 41
2722 4840 49
2722 6496 40
2722 4513 96
2722 322 22
2723 9763 18
2723 1734 5
2723 1237 94
2723 9961 93
2723 2691 26
2724 4826 55
2724 5655 66
2725 725 35
2725 6783 73
2725 9815 78
2725 3387 40
2725 4073 12
2725 8358 44
2725 6480 36
2725 6775 21
2725 5709 15
2726 8851 36
2726 6347 35
2726 7527 62
2726 4513 56
2726 8582 28
2726 4542 21
2726 4873 36
2727 6921 33
2727 3265 77
2727 9144 96
2727 8160 13
2727 3701 29
2727 8108 85
2727 7716 35
2728 5326 18
2728 5579 12
2728 8252 26
2728 9828 70
2728 7996 65
2729 8694 96
2729 6322 21
2730 7272 3
2730 4907 76
2730 8201 5
2730 9737 69
2731 5932 68
2731 6566 24
2731 5808 0
2732 6969 62
2732 6022 3
2732 396 47
2732 3507 26
2732 362 36
2733 2955 73
2733 6571 54
2733 6194 93
2733 3833 56
2733 6043 66
2734 6024 16
2734 7888 58
2734 6093 37
2734 8082 14
2734 3940 91
2735 9816 90
2735 1196 15
2735 6790 56
2736 1069 55
2736 792 63
2736 104 33
2736 2327 11
2736 7012 17
2736 7447 35
2736 7100 93
2736 9316 85
2736 1423 14
2736 9201 45
2737 1661 10
2737 6095 95
2737 988 28
2737 1162 93
2737 9601 9
2738 3471 41
2738 8908 20
2738 3957 64
2739 8964 42
2739 2914 35
2739 4728 58
2739 1527 80
2739 3664 94
2739 5338 65
2739 5414 86
2739 2797 99
2739 1474 9
2740 553 90
2740 7432 88
2740 3102 40
2740 730 4
2740 4467 55
2741 2401 12
2741 9603 90
2741 3221 66
2741 8315 40
2742 8814 24
2742 8 71
2742 1633 84
2742 6904 80
2742 3050 4
2742 2841 81
2742 9907 80
2742 7198 1
2743 8333 31
2743 9615 17
2743 6328 75
2743 6949 48
2743 6330 28
2743 9388 86
2744 578 25
2744 3115 33
2744 6475 60
2744 6397 19
2744 5163 62
2744 7278 23
2744 7693 93
2744 6797 63
2745 5527 36
2745 3434 16
2745 356 25
2745 7822 81
2745 8903 11
2745 7996 66
2745 6969 92
2746 4278 95
2746 3166 27
2746 2090 0
2746 7917 55
2747 9428 8
2747 3717 62
2747 4032 71
2747 6159 78
2747 3270 26
2747 4205 90
2748 7712 22
2748 2387 4
2748 5749 53
2748 8158 88
2748 206 33
2748 8857 78
2749 5425 48
2749 1948 80
2749 6989 74
2749 6567 30
2749 8767 81
2749 8744 44
2749 6185 61
2750 2736 67
2750 2974 84
2750 7327 23
2750 1534 38
2750 5776 29
2750 9777 37
2750 2620 85
2751 4709 62
2751 7946 62
2751 7182 80
2751 6264 50
2751 1633 76
2751 4333 45
2751 3258 69
2751 5604 61
2752 4913 37
2752 1804 12
2752 5709 28
2752 1032 14
2752 5753 96
2752 3605 97
2752 6642 36
2753 7981 53
2753 899 57
2753 3813 41
2754 1251 31
2754 43 84
2754 34 54
2754 685 14
2754 1946 22
2755 7492 59
2755 4016 40
2755 1080 84
2755 9771 14
2755 1605 44
2755 3161 89
2755 6779 50
2756 922 90
2756 3588 16
2756 6269 99
2756 7566 61
2756 359 62
2756 7290 76
2756 7170 52
2757 8335 87
2757 1904 30
2757 1840 3
2757 6704 37
2758 6619 34
2758 2115 64
2758 9621 27
2758 4375 100
2759 8056 52
2759 7983 7
2759 644 71
2759 9735 98
2759 6145 41
2759 9404 33
2759 8177 86
2759 8118 40
2760 28 52
2760 3148 50
2760 4108 56
2760 8294 54
2760 8631 51
2761 8577 33
2761 5288 6
2761 3590 34
2761 4661 62
2761 3480 93
2761 1814 28
2761 1810 43
2761 5369 81
2761 3459 5
2761 4364 39
2761 6765 57
2761 9690 52
2761 98 28
2761 8756 73
2762 79 21
2762 3899 68
2762 3831 26
2762 6585 99
2763 4702 80
2764 815 14
2764 7120 78
2764 3499 78
2764 1377 42
2765 9100 16
2765 2004 77
2765 2722 69
2765 5097 2
2765 8227 92
2765 5986 2
2765 9177 48
2765 8024 11
2765 5662 99
2765 3010 90
2765 5269 42
2765 8219 45
2765 3181 98
2765 4716 98
2765 6646 70
2765 641 8
2766 2372 83
2766 7097 6
2767 6313 66
2767 3995 26
2767 7638 46
2767 1062 68
2767 2492 25
2768 2017 20
2768 2470 68
2768 8875 50
2768 8763 91
2768 4638 29
2768 9485 37
2768 5802 20
2768 1191 47
2768 3651 42
2768 1683 52
2768 1217 27
2769 3068 70
2769 5925 93
2770 2673 31
2770 8347 1
2770 9031 4
2770 426 2
2770 5121 96
2771 8438 67
2771 9251 13
2771 2940 64
2771 35 50
2771 979 62
2771 4713 5
2771 6215 20
2772 965 36
2772 4742 38
2772 1365 3
2772 5935 29
2772 8146 80
2772 6710 98
2773 3402 88
2773 8376 31
2773 7082 4
2773 6484 34
2773 4916 95
2773 191 15
2773 3936 100
2774 4087 48
2774 5915 83
2774 7629 51
2775 6251 16
2775 8033 94
2775 7851 34
2775 1340 10
2775 5693 9
2775 6397 9
2775 7612 64
2776 8248 92
2776 6364 90
2776 979 97
2777 2662 93
2777 2968 53
2777 9834 2
2777 8820 1
2777 9256 95
2777 2827 69
2778 4041 77
2778 3743 19
2778 6631 12
2779 730 94
2779 2360 75
2779 8500 50
2779 3226 24
2779 399 77
2780 4843 39
2780 4208 100
2780 8616 41
2780 3691 54
2780 3112 65
2780 4860 95
2780 9373 2
2780 8892 38
2780 1049 35
2781 2591 58
2781 4362 25
2781 7058 12
2781 391 33
2781 3672 83
2781 891 73
2781 8081 60
2782 918 48
2782 5732 37
2782 8192 54
2782 8950 11
2782 8621 28
2783 5270 52
2783 2585 71
2783 4966 35
2783 2557 61
2783 2669 36
2783 1952 89
2784 6403 68
2784 8449 64
2784 9706 31
2784 6594 48
2785 3350 2
2785 4524 63
2785 1981 93
2785 5226 50
2785 9332 47
2786 2724 97
2786 1544 69
2787 6151 91
2787 9648 13
2787 6337 57
2787 5672 28
2787 6504 73
2787 2546 3
2787 7346 50
2787 1962 98
2788 1442 29
2788 4830 57
2788 9747 47
2788 8384 61
2788 9153 72
2788 8893 13
2788 7165 82
2788 5120 39
2788 7394 42
2789 5162 18
2789 9450 80
2789 8224 10
2789 6126 12
2789 6557 71
2790 3058 21
2790 2101 26
2790 8012 62
2790 6623 75
2790 2552 31
2790 901 10
2790 5930 18
2791 8745 51
2791 1716 78
2791 792 60
2791 9400 66
2791 5446 92
2791 2589 72
2792 326 97
2792 9716 29
2792 2794 7
2792 5318 98
2792 2845 63
2792 8573 32
2792 4232 52
2793 5384 39
2793 9040 94
2793 601 43
2793 2621 19
2793 6242 4
2793 4735 41
2794 3594 88
2794 295 72
2794 5441 76
2794 3344 52
2794 9823 0
2794 5069 34
2795 468 88
2795 2890 26
2795 2583 96
2795 9114 71
2795 8431 62
2795 961 69
2795 7244 63
2795 9149 40
2795 1217 83
2795 5894 30
2795 6464 41
2795 930 59
2796 9683 90
2796 1400 61
2796 4794 65
2796 4848 71
2796 2691 94
2796 3639 93
2796 2748 10
2796 5014 13
2797 5210 54
2797 159 89
2797 8380 9
2797 7042 48
2797 4909 16
2797 3177 96
2797 3248 1
2797 330 20
2797 4424 66
2797 4704 95
2798 4781 15
2798 4624 21
2798 1702 25
2798 9076 56
2798 4706 14
2798 929 4
2799 2941 54
2799 7606 63
2799 6896 21
2800 1106 80
2800 1937 67
2800 9365 62
2800 5586 17
2800 3005 95
2801 6832 70
2801 9940 53
2801 4036 51
2801 7791 1
2801 3560 37
2802 5129 15
2802 9265 55
2802 589 37
2802 6714 92
2802 4981 86
2802 8868 34
2803 8751 66
2803 3668 41
2803 9853 78
2803 3987 47
2803 668 72
2803 9796 83
2803 3422 21
2803 732 18
2803 8654 37
2804 1651 66
2805 3735 87
2805 7185 26
2805 5248 78
2806 1812 91
2806 2668 47
2806 8922 66
2806 3380 77
2806 6906 32
2807 1354 60
2807 8633 59
2807 7440 26
2807 7901 42
2807 444 95
2807 9606 92
2807 3614 17
2807 5957 21
2807 9273 67
2808 1709 91
2808 8322 60
2808 1426 1
2808 1123 40
2808 8438 53
2808 6921 22
2809 4127 19
2809 7737 60
2809 8627 8
2809 3658 0
2810 1731 39
2810 8451 89
2810 8170 24
2811 6639 25
2811 8347 88
2811 6468 12
2812 2625 68
2812 2797 58
2812 4604 42
2813 4259 12
2813 7817 7
2813 1882 79
2813 5838 59
2813 6422 76
2814 8800 20
2814 2587 8
2814 9748 44
2814 7231 81
2814 2016 71
2814 8030 28
2815 6279 44
2815 6613 80
2815 8917 1
2815 8879 24
2815 6488 35
2816 9701 36
2816 575 54
2816 8049 74
2816 9357 93
2817 248 39
2817 8199 47
2817 2490 79
2818 8189 98
2818 8956 51
2818 41 32
2818 4102 71
2818 4461 69
2819 4936 82
2819 2571 84
2819 281 25
2819 7062 9
2819 9963 75
2819 7059 19
2819 6621 13
2820 4174 93
2820 6369 27
2820 8245 35
2820 8747 22
2821 9887 33
2821 2650 72
2821 6327 13
2821 2267 16
2821 3168 66
2822 1610 75
2822 1245 82
2822 9140 98
2823 4478 49
2823 4860 42
2823 1500 73
2823 3846 98
2823 6290 75
2823 6825 77
2824 8340 35
2824 6868 94
2824 5202 78
2824 6125 85
2825 4032 60
2825 4911 26
2825 6166 21
2825 3306 0
2825 2043 100
2825 7102 29
2825 341 27
2826 6150 11
2826 2542 78
2826 1174 18
2826 4963 18
2826 469 21
2826 9977 60
2826 2632 0
2827 641 41
2827 3399 9
2827 4955 6
2828 800 17
2828 633 65
2828 7443 56
2828 179 54
2828 988 85
2829 5454 60
2829 827 41
2829 3410 38
2829 3439 64
2830 7717 97
2830 5444 15
2830 6306 30
2830 5050 71
2830 7512 50
2830 8682 48
2830 8234 99
2831 450 49
2831 5358 90
2831 171 60
2831 7966 45
2831 8352 39
2831 9057 66
2831 6699 40
2831 9110 67
2831 201 10
2832 7999 77
2832 8902 27
2832 3589 21
2832 9547 81
2832 1049 35
2832 1584 91
2832 757 18
2832 4852 55
2832 4592 71
2833 3241 56
2833 5773 62
2833 3407 88
2833 3762 100
2833 2214 32
2833 7033 87
2833 9992 15
2834 9850 71
2834 5479 55
2834 504 83
2834 3855 44
2834 7698 22
2834 271 3
2834 3148 46
2834 2274 59
2834 2836 98
2834 4907 85
2834 1497 44
2835 6774 93
2835 5453 54
2835 1688 27
2835 3804 78
2835 7332 71
2835 3105 24
2835 5228 48
2835 1935 47
2836 8284 22
2836 6852 95
2836 6269 1
2836 8136 25
2836 4918 56
2837 7531 46
2837 716 67
2837 1270 24
2837 6475 0
2837 6572 75
2837 1659 39
2837 6506 42
2837 2288 12
2838 4320 47
2838 2750 32
2838 9636 64
2838 1720 1
2838 7624 77
2838 4101 34
2838 4612 4
2839 3268 82
2839 9239 35
2839 6846 82
2839 3841 61
2839 3067 50
2839 3418 5
2839 3284 89
2839 3955 90
2839 1170 32
2839 6154 35
2840 740 80
2840 3559 7
2840 360 73
2840 4627 3
2841 5496 91
2841 936 60
2841 5958 77
2841 9160 80
2841 9213 58
2842 5998 62
2842 8629 22
2842 3160 60
2842 4852 95
2842 2328 82
2842 404 96
2843 786 69
2844 245 13
2844 4123 4
2844 8701 47
2844 5248 3
2844 8812 78
2844 1544 91
2845 2103 19
2845 9709 90
2845 8436 94
2845 4417 22
2845 177 16
2846 2885 10
2846 6604 53
2846 8320 15
2846 2730 7
2847 8418 56
2847 6951 81
2847 4834 90
2847 7070 7
2847 8829 40
2847 822 12
2847 7652 69
2848 509 35
2848 6171 24
2848 4849 83
2848 893 78
2848 8438 94
2848 976 2
2848 4009 42
2848 2396 86
2849 3537 40
2849 525 90
2849 7675 21
2849 5622 75
2850 6292 92
2850 995 46
2850 93 66
2851 9324 1
2851 9703 85
2851 3112 51
2851 3070 53
2851 5780 85
2851 774 85
2852 5922 7
2852 7862 8
2852 3483 24
2852 5614 97
2852 7282 64
2852 2501 18
2852 7989 93
2852 1769 34
2852 5419 10
2852 3021 22
2852 6858 56
2853 3587 5
2853 6439 35
2853 4817 77
2853 6278 25
2853 3623 88
2853 8685 64
2853 1785 52
2854 4347 22
2854 9207 81
2854 5280 95
2854 6308 0
2854 8216 39
2854 1755 35
2855 8936 71
2855 23 44
2855 6895 15
2855 9366 43
2855 9343 59
2856 6364 72
2856 700 89
2856 2376 11
2856 2200 72
2857 1497 59
2857 3347 11
2857 5741 14
2857 8647 11
2857 3705 23
2858 1801 93
2858 9042 11
2858 2480 23
2858 8139 40
2858 7905 75
2859 4663 80
2859 616 2
2859 6574 98
2859 9566 21
2859 7870 100
2859 8538 1
2859 2449 27
2859 6784 81
2860 235 47
2860 2351 58
2860 8991 10
2860 546 92
2861 8496 31
2861 5373 39
2861 9300 87
2861 3462 82
2861 1531 24
2861 9662 95
2862 8248 96
2862 2548 94
2862 150 16
2862 4754 39
2862 5510 6
2862 9595 48
2862 5920 90
2862 9609 36
2862 1218 22
2863 7490 35
2864 1450 17
2864 9744 72
2864 6974 40
2864 7214 52
2865 9106 28
2865 6442 24
2865 5867 34
2865 3858 25
2865 7595 22
2865 3602 37
2865 7864 33
2866 4346 89
2866 6193 56
2866 8964 33
2866 3356 11
2866 552 62
2866 231 45
2867 6670 74
2867 1838 46
2867 4387 44
2867 9732 98
2867 1210 82
2867 8156 66
2868 1293 57
2868 6846 80
2868 9122 87
2868 5623 21
2868 3899 4
2868 9028 74
2869 3507 49
2869 6800 19
2869 4485 68
2869 5873 72
2869 3001 26
2869 1554 89
2870 7736 55
2870 4747 44
2870 8458 82
2870 5234 87
2870 8308 36
2870 8278 26
2870 9966 43
2870 8726 89
2870 7391 64
2871 8099 70
2871 9155 95
2871 1377 34
2871 6361 11
2871 2445 65
2871 471 98
2872 5209 26
2873 4280 33
2873 2514 27
2873 7929 59
2873 1776 33
2873 4582 4
2873 7496 14
2873 7355 66
2874 2357 84
2874 3674 80
2874 7733 23
2874 1499 60
2875 6643 17
2875 1070 59
2875 2328 75
2875 3631 41
2875 773 47
2876 3239 72
2876 4657 48
2876 425 84
2877 3289 75
2877 1956 4
2877 78 41
2877 4561 89
2877 1120 13
2878 4215 80
2878 3891 45
2878 3713 1
2878 7110 20
2878 356 53
2879 9938 60
2879 4734 42
2879 34 43
2879 3285 82
2879 1696 12
2879 5626 23
2879 1318 45
2879 3895 39
2880 595 20
2880 4304 59
2880 7761 69
2880 2474 23
2881 8486 96
2881 2589 2
2881 8562 56
2881 3912 78
2882 4722 58
2882 5613 75
2882 8097 73
2882 5640 88
2882 2595 55
2882 5365 93
2882 3353 51
2883 691 60
2883 438 31
2883 6714 32
2883 8975 92
2883 4649 47
2883 9747 76
2883 9207 43
2884 4289 61
2884 2874 86
2884 4072 51
2884 1450 38
2884 7231 5
2885 8548 29
2885 1645 97
2885 8585 64
2885 6920 13
2885 8824 53
2886 6174 54
2886 1350 99
2886 3353 34
2886 8827 73
2886 4522 51
2886 3172 75
2886 9203 3
2887 3822 20
2887 521 65
2887 978 21
2888 818 38
2889 259 76
2889 1755 89
2890 9926 67
2890 6058 25
2890 8106 72
2890 7472 96
2891 9736 17
2891 8226 16
2891 8832 84
2891 6918 42
2891 6726 100
2892 5384 6
2892 1235 11
2892 7088 39
2893 193 98
2893 2676 18
2893 9930 44
2893 4559 58
2894 5363 50
2894 2004 21
2894 6487 58
2894 9681 0
2894 7136 84
2894 6972 18
2895 8334 25
2895 3051 22
2895 5956 38
2895 6678 39
2895 1300 10
2895 5719 23
2896 2487 30
2896 6729 26
2896 4925 55
2896 4152 11
2896 2165 92
2896 2096 31
2896 2002 19
2897 5134 87
2897 7559 71
2897 4602 99
2897 1953 47
2897 7351 0
2897 1739 61
2897 7184 20
2897 5488 44
2897 2270 12
2898 1732 60
2898 3691 70
2898 5111 87
2898 5013 50
2899 7169 89
2899 3699 27
2899 363 60
2899 9069 85
2899 5818 48
2899 8010 59
2900 6755 90
2900 6388 31
2900 6982 97
2900 6515 12
2900 4328 49
2900 7956 16
2900 5123 40
2901 6117 97
2901 5623 17
2901 8539 51
2901 6517 98
2901 6021 41
2901 242 36
2902 2755 86
2902 6584 93
2902 5075 54
2902 5089 76
2903 9479 50
2903 138 68
2903 4819 9
2903 8930 44
2903 861 62
2904 6646 85
2904 2100 94
2904 7517 75
2905 9250 3
2905 7481 28
2905 9106 77
2905 8338 22
2905 2383 98
2905 8359 30
2905 1471 47
2905 9323 46
2906 7796 43
2906 7460 64
2906 7051 0
2906 9658 78
2907 659 76
2907 8969 96
2907 1303 50
2907 7944 9
2907 3654 82
2907 5823 29
2908 7994 17
2908 4584 63
2908 7505 24
2908 8084 5
2908 2099 27
2909 6285 38
2909 9776 55
2909 2952 11
2909 5414 43
2910 6524 49
2910 8242 83
2910 9030 23
2910 9339 54
2910 1614 19
2910 1529 36
2910 6616 39
2911 29 49
2911 6458 86
2911 2364 61
2911 8394 4
2911 5823 33
2911 4486 53
2911 4005 22
2911 8731 20
2911 1831 50
2912 4953 87
2912 9894 66
2912 6214 13
2912 9621 59
2912 2383 10
2912 1872 44
2912 1047 87
2912 3761 93
2912 3175 12
2912 1561 83
2913 8255 51
2913 3524 1
2913 8519 20
2913 4921 40
2913 1363 16
2913 7081 73
2913 742 64
2913 1860 49
2914 6520 87
2914 2022 58
2914 7952 1
2914 378 62
2914 352 83
2914 6847 85
2914 3986 51
2914 554 54
2915 7218 98
2915 3549 6
2915 1078 38
2915 8792 54
2915 1581 33
2915 1113 94
2915 3481 81
2916 3933 14
2916 414 77
2916 7599 57
2916 6789 64
2916 9611 47
2916 4914 99
2916 4888 60
2916 9038 91
2916 4805 42
2916 8105 68
2917 8667 46
2917 2495 14
2917 8148 100
2917 8575 22
2918 2940 54
2918 4445 68
2918 5084 97
2918 1698 49
2918 8987 86
2919 2097 10
2919 272 19
2919 1334 0
2919 5192 43
2919 3889 90
2920 2643 75
2920 3018 33
2920 2788 25
2920 827 65
2920 4531 78
2921 8335 93
2921 4675 58
2921 395 55
2921 1282 6
2921 8849 59
2921 7574 36
2921 1460 5
2921 4008 15
2921 6688 62
2922 2157 58
2922 605 46
2922 8867 6
2923 2346 76
2923 7512 87
2923 6783 47
2923 5072 32
2923 8103 54
2924 7807 43
2924 4785 86
2924 3066 37
2924 4358 98
2924 8504 3
2924 771 69
2924 1664 34
2924 5966 22
2925 9530 37
2925 1207 45
2925 8175 53
2925 7694 2
2925 3284 57
2925 8785 41
2926 512 38
2926 2606 81
2926 5795 4
2926 179 76
2926 6925 14
2926 1029 45
2926 1658 93
2926 2353 4
2926 5670 68
2926 846 94
2926 5932 50
2927 8317 31
2927 6559 22
2927 267 10
2928 6065 68
2928 4804 12
2928 8748 16
2928 4550 93
2928 9836 18
2928 8307 81
2928 8602 63
2928 5513 55
2929 7271 35
2929 927 44
2930 7433 58
2930 6947 88
2930 5377 79
2930 4472 31
2930 9197 93
2930 654 67
2930 9253 72
2930 8824 58
2931 9149 5
2931 2502 9
2931 769 41
2931 5480 47
2931 9672 4
2931 394 18
2931 7180 77
2931 3252 92
2932 579 81
2932 9766 12
2932 5272 48
2932 7559 65
2932 8925 92
2933 3854 10
2933 8015 43
2933 4191 81
2933 8423 95
2934 6269 38
2934 6316 54
2934 2249 51
2935 7548 2
2935 138 23
2935 4432 95
2935 2350 32
2935 7083 92
2935 9251 83
2935 7622 95
2935 8252 10
2935 4589 55
2936 2463 14
2936 3214 24
2936 7580 73
2936 9706 33
2936 328 38
2936 2763 78
2936 8224 65
2937 1753 69
2937 6289 31
2937 7039 88
2937 6653 6
2938 5152 47
2938 3656 73
2938 8059 60
2938 2969 27
2938 737 97
2938 9931 55
2938 970 35
2938 5194 95
2939 4952 88
2939 1460 99
2939 3208 23
2939 3721 35
2939 4181 64
2939 169 85
2939 7022 5
2940 4426 77
2940 1741 51
2940 3037 23
2940 2407 86
2940 1561 36
2940 4555 34
2940 9767 0
2941 2679 52
2941 6507 26
2941 5240 2
2941 6265 100
2941 3309 53
2941 6911 84
2941 7584 16
2942 9516 35
2942 4278 34
2942 2455 59
2943 4919 76
2943 6291 81
2943 8741 40
2943 4241 12
2944 310 28
2944 3563 28
2944 7942 2
2944 607 90
2945 7444 41
2945 4894 28
2945 4227 8
2945 8831 78
2945 4066 36
2945 5792 93
2945 9540 91
2945 7922 77
2946 427 58
2946 3095 75
2946 3532 53
2947 9984 81
2947 7439 76
2947 6974 42
